"Transmitter Name","Transmitter ID"
"Satellite/SA0201/Sensor/F/Transmitter/BF",0

"Receiver Name","Receiver ID"
"Satellite/SA0211/Sensor/F/Receiver/RF",0

"Time (UTCG)","Link To ID","Xmtr Power (dBW)","Xmtr Gain (dB)","EIRP (dBW)","Xmtr Azimuth - Phi (deg)","Xmtr Elevation - Theta (deg)","Range (km)","Rcvr Azimuth - Phi (deg)","Rcvr Elevation - Theta (deg)","Rcvd. Frequency (GHz)","Rcvd. Iso. Power (dBW)","Carrier Power at Rcvr Input (dBW)","Flux Density (dBW/m^2)","Rcvr Gain (dB)","Free Space Loss (dB)","Atmos Loss (dB)","Rain Loss (dB)","CloudsFog Losss (dB)","TropoScintill Loss (dB)","Prop Loss (dB)","Train (K)","Tatmos (K)","TcloudsFog (K)","TtropoScintill (K)","Tsun (K)","Tearth (K)","Tcosmic (K)","Tother (K)","Tantenna (K)","Tequiv (K)","g/T (dB/K)","C/No (dB*Hz)","C/(No+Io) (dB*Hz)","Bandwidth (MHz)","Bandwidth Overlap (units)","Pol. Rel. Angle (deg)","Polarization Effic (dB)","C/N (dB)","C/(N+I) (dB)","Eb/No (dB)","Eb/(No+Io) (dB)","BER","BER+I","C/I (dB)","DeltaT/T (dB)","Pwr Flux Density (dBW/m^2)"
27 Mar 2026 04:10:00.000,0,16.990,41.8926,58.882,0.129,0.000,3965.8932,0.097,0.000,40.000,-137.573,-101.701,-84.0766,35.8720,196.4558,0.0000,0.0000,0.0000,0.0000,196.4558,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,290.000,11.2480,102.2737,102.2737,50.0000,1.0000,0.000,0.0000,25.2840,25.2840,22.2737,22.2737,1.8874e-13,1.8874e-13,3000.0000,-9999.9900,-9999.9900
27 Mar 2026 04:11:00.000,0,16.990,41.8926,58.882,0.127,0.000,3965.8932,0.091,0.000,40.000,-137.573,-101.701,-84.0766,35.8720,196.4558,0.0000,0.0000,0.0000,0.0000,196.4558,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,290.000,11.2480,102.2737,102.2737,50.0000,1.0000,0.000,0.0000,25.2840,25.2840,22.2737,22.2737,1.8874e-13,1.8874e-13,3000.0000,-9999.9900,-9999.9900
27 Mar 2026 04:12:00.000,0,16.990,41.8926,58.882,0.125,0.000,3965.8932,0.084,0.000,40.000,-137.573,-101.701,-84.0766,35.8720,196.4558,0.0000,0.0000,0.0000,0.0000,196.4558,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,290.000,11.2480,102.2737,102.2737,50.0000,1.0000,0.000,0.0000,25.2840,25.2840,22.2737,22.2737,1.8874e-13,1.8874e-13,3000.0000,-9999.9900,-9999.9900
27 Mar 2026 04:13:00.000,0,16.990,41.8926,58.882,0.122,0.000,3965.8932,0.078,0.000,40.000,-137.573,-101.701,-84.0766,35.8720,196.4558,0.0000,0.0000,0.0000,0.0000,196.4558,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,290.000,11.2480,102.2737,102.2737,50.0000,1.0000,0.000,0.0000,25.2840,25.2840,22.2737,22.2737,1.8874e-13,1.8874e-13,3000.0000,-9999.9900,-9999.9900
27 Mar 2026 04:14:00.000,0,16.990,41.8926,58.882,0.119,0.000,3965.8932,0.071,0.000,40.000,-137.573,-101.701,-84.0766,35.8720,196.4558,0.0000,0.0000,0.0000,0.0000,196.4558,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,290.000,11.2480,102.2737,102.2737,50.0000,1.0000,0.000,0.0000,25.2840,25.2840,22.2737,22.2737,1.8874e-13,1.8874e-13,3000.0000,-9999.9900,-9999.9900
27 Mar 2026 04:15:00.000,0,16.990,41.8926,58.882,0.115,0.000,3965.8932,0.064,0.000,40.000,-137.573,-101.701,-84.0766,35.8720,196.4558,0.0000,0.0000,0.0000,0.0000,196.4558,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,290.000,11.2480,102.2737,102.2737,50.0000,1.0000,0.000,0.0000,25.2840,25.2840,22.2737,22.2737,1.8874e-13,1.8874e-13,3000.0000,-9999.9900,-9999.9900
27 Mar 2026 04:16:00.000,0,16.990,41.8926,58.882,0.111,0.000,3965.8932,0.057,0.000,40.000,-137.573,-101.701,-84.0766,35.8720,196.4558,0.0000,0.0000,0.0000,0.0000,196.4558,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,290.000,11.2480,102.2737,102.2737,50.0000,1.0000,0.000,0.0000,25.2840,25.2840,22.2737,22.2737,1.8874e-13,1.8874e-13,3000.0000,-9999.9900,-9999.9900
27 Mar 2026 04:17:00.000,0,16.990,41.8926,58.882,0.106,0.000,3965.8932,0.049,0.000,40.000,-137.573,-101.701,-84.0766,35.8720,196.4558,0.0000,0.0000,0.0000,0.0000,196.4558,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,290.000,11.2480,102.2737,102.2737,50.0000,1.0000,0.000,0.0000,25.2840,25.2840,22.2737,22.2737,1.8874e-13,1.8874e-13,3000.0000,-9999.9900,-9999.9900
27 Mar 2026 04:18:00.000,0,16.990,41.8926,58.882,0.101,0.000,3965.8932,0.041,0.000,40.000,-137.573,-101.701,-84.0766,35.8720,196.4558,0.0000,0.0000,0.0000,0.0000,196.4558,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,290.000,11.2480,102.2737,102.2737,50.0000,1.0000,0.000,0.0000,25.2840,25.2840,22.2737,22.2737,1.8874e-13,1.8874e-13,3000.0000,-9999.9900,-9999.9900
27 Mar 2026 04:19:00.000,0,16.990,41.8926,58.882,0.096,0.000,3965.8932,0.033,0.000,40.000,-137.573,-101.701,-84.0766,35.8720,196.4558,0.0000,0.0000,0.0000,0.0000,196.4558,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,290.000,11.2480,102.2737,102.2737,50.0000,1.0000,0.000,0.0000,25.2840,25.2840,22.2737,22.2737,1.8874e-13,1.8874e-13,3000.0000,-9999.9900,-9999.9900
27 Mar 2026 04:20:00.000,0,16.990,41.8926,58.882,0.090,0.000,3965.8932,0.025,0.000,40.000,-137.573,-101.701,-84.0766,35.8720,196.4558,0.0000,0.0000,0.0000,0.0000,196.4558,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,290.000,11.2480,102.2737,102.2737,50.0000,1.0000,0.000,0.0000,25.2840,25.2840,22.2737,22.2737,1.8874e-13,1.8874e-13,3000.0000,-9999.9900,-9999.9900
27 Mar 2026 04:21:00.000,0,16.990,41.8926,58.882,0.084,0.000,3965.8932,0.017,0.000,40.000,-137.573,-101.701,-84.0766,35.8720,196.4558,0.0000,0.0000,0.0000,0.0000,196.4558,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,290.000,11.2480,102.2737,102.2737,50.0000,1.0000,0.000,0.0000,25.2840,25.2840,22.2737,22.2737,1.8874e-13,1.8874e-13,3000.0000,-9999.9900,-9999.9900
27 Mar 2026 04:22:00.000,0,16.990,41.8926,58.882,0.077,0.000,3965.8932,0.008,0.000,40.000,-137.573,-101.701,-84.0766,35.8720,196.4558,0.0000,0.0000,0.0000,0.0000,196.4558,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,290.000,11.2480,102.2737,102.2737,50.0000,1.0000,0.000,0.0000,25.2840,25.2840,22.2737,22.2737,1.8874e-13,1.8874e-13,3000.0000,-9999.9900,-9999.9900
27 Mar 2026 04:23:00.000,0,16.990,41.8926,58.882,0.070,0.000,3965.8932,360.000,0.000,40.000,-137.573,-101.701,-84.0766,35.8720,196.4558,0.0000,0.0000,0.0000,0.0000,196.4558,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,290.000,11.2480,102.2737,102.2737,50.0000,1.0000,0.000,0.0000,25.2840,25.2840,22.2737,22.2737,1.8874e-13,1.8874e-13,3000.0000,-9999.9900,-9999.9900
27 Mar 2026 04:24:00.000,0,16.990,41.8926,58.882,0.063,0.000,3965.8932,359.992,0.000,40.000,-137.573,-101.701,-84.0766,35.8720,196.4558,0.0000,0.0000,0.0000,0.0000,196.4558,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,290.000,11.2480,102.2737,102.2737,50.0000,1.0000,0.000,0.0000,25.2840,25.2840,22.2737,22.2737,1.8874e-13,1.8874e-13,3000.0000,-9999.9900,-9999.9900
27 Mar 2026 04:25:00.000,0,16.990,41.8926,58.882,0.056,0.000,3965.8932,359.983,0.000,40.000,-137.573,-101.701,-84.0766,35.8720,196.4558,0.0000,0.0000,0.0000,0.0000,196.4558,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,290.000,11.2480,102.2737,102.2737,50.0000,1.0000,0.000,0.0000,25.2840,25.2840,22.2737,22.2737,1.8874e-13,1.8874e-13,3000.0000,-9999.9900,-9999.9900
27 Mar 2026 04:26:00.000,0,16.990,41.8926,58.882,0.048,0.000,3965.8932,359.975,0.000,40.000,-137.573,-101.701,-84.0766,35.8720,196.4558,0.0000,0.0000,0.0000,0.0000,196.4558,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,290.000,11.2480,102.2737,102.2737,50.0000,1.0000,0.000,0.0000,25.2840,25.2840,22.2737,22.2737,1.8874e-13,1.8874e-13,3000.0000,-9999.9900,-9999.9900
27 Mar 2026 04:27:00.000,0,16.990,41.8926,58.882,0.040,0.000,3965.8932,359.967,0.000,40.000,-137.573,-101.701,-84.0766,35.8720,196.4558,0.0000,0.0000,0.0000,0.0000,196.4558,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,290.000,11.2480,102.2737,102.2737,50.0000,1.0000,0.000,0.0000,25.2840,25.2840,22.2737,22.2737,1.8874e-13,1.8874e-13,3000.0000,-9999.9900,-9999.9900
27 Mar 2026 04:28:00.000,0,16.990,41.8926,58.882,0.032,0.000,3965.8932,359.959,0.000,40.000,-137.573,-101.701,-84.0766,35.8720,196.4558,0.0000,0.0000,0.0000,0.0000,196.4558,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,290.000,11.2480,102.2737,102.2737,50.0000,1.0000,0.000,0.0000,25.2840,25.2840,22.2737,22.2737,1.8874e-13,1.8874e-13,3000.0000,-9999.9900,-9999.9900
27 Mar 2026 04:29:00.000,0,16.990,41.8926,58.882,0.024,0.000,3965.8932,359.951,0.000,40.000,-137.573,-101.701,-84.0766,35.8720,196.4558,0.0000,0.0000,0.0000,0.0000,196.4558,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,290.000,11.2480,102.2737,102.2737,50.0000,1.0000,0.000,0.0000,25.2840,25.2840,22.2737,22.2737,1.8874e-13,1.8874e-13,3000.0000,-9999.9900,-9999.9900
27 Mar 2026 04:30:00.000,0,16.990,41.8926,58.882,0.016,0.000,3965.8932,359.943,0.000,40.000,-137.573,-101.701,-84.0766,35.8720,196.4558,0.0000,0.0000,0.0000,0.0000,196.4558,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,290.000,11.2480,102.2737,102.2737,50.0000,1.0000,0.000,0.0000,25.2840,25.2840,22.2737,22.2737,1.8874e-13,1.8874e-13,3000.0000,-9999.9900,-9999.9900
