"Transmitter Name","Transmitter ID"
"Satellite/SA0201/Sensor/L/Transmitter/BL",0

"Receiver Name","Receiver ID"
"Satellite/SA0101/Sensor/L/Receiver/RL",0

"Time (UTCG)","Link To ID","Xmtr Power (dBW)","Xmtr Gain (dB)","EIRP (dBW)","Xmtr Azimuth - Phi (deg)","Xmtr Elevation - Theta (deg)","Range (km)","Rcvr Azimuth - Phi (deg)","Rcvr Elevation - Theta (deg)","Rcvd. Frequency (GHz)","Rcvd. Iso. Power (dBW)","Carrier Power at Rcvr Input (dBW)","Flux Density (dBW/m^2)","Rcvr Gain (dB)","Free Space Loss (dB)","Atmos Loss (dB)","Rain Loss (dB)","CloudsFog Losss (dB)","TropoScintill Loss (dB)","Prop Loss (dB)","Train (K)","Tatmos (K)","TcloudsFog (K)","TtropoScintill (K)","Tsun (K)","Tearth (K)","Tcosmic (K)","Tother (K)","Tantenna (K)","Tequiv (K)","g/T (dB/K)","C/No (dB*Hz)","C/(No+Io) (dB*Hz)","Bandwidth (MHz)","Bandwidth Overlap (units)","Pol. Rel. Angle (deg)","Polarization Effic (dB)","C/N (dB)","C/(N+I) (dB)","Eb/No (dB)","Eb/(No+Io) (dB)","BER","BER+I","C/I (dB)","DeltaT/T (dB)","Pwr Flux Density (dBW/m^2)"
27 Mar 2026 04:10:00.000,0,16.990,41.8926,58.882,66.482,0.001,3617.9707,76.156,0.001,40.000,-136.776,-100.904,-83.2791,35.8720,195.6583,0.0000,0.0000,0.0000,0.0000,195.6583,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,290.000,11.2481,103.0712,103.0712,50.0000,1.0000,0.000,0.0000,26.0815,26.0815,23.0712,23.0712,9.7158e-16,9.7158e-16,3000.0000,-9999.9900,-9999.9900
27 Mar 2026 04:11:00.000,0,16.990,41.8926,58.882,65.054,0.001,3542.7459,75.978,0.001,40.000,-136.593,-100.721,-83.0966,35.8720,195.4758,0.0000,0.0000,0.0000,0.0000,195.4758,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,290.000,11.2481,103.2537,103.2537,50.0000,1.0000,0.000,0.0000,26.2640,26.2640,23.2537,23.2537,2.5297e-16,2.5297e-16,3000.0000,-9999.9900,-9999.9900
27 Mar 2026 04:12:00.000,0,16.990,41.8926,58.882,63.337,0.001,3465.2512,75.708,0.001,40.000,-136.401,-100.529,-82.9045,35.8720,195.2837,0.0000,0.0000,0.0000,0.0000,195.2837,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,290.000,11.2481,103.4458,103.4458,50.0000,1.0000,0.000,0.0000,26.4561,26.4561,23.4458,23.4458,5.7703e-17,5.7703e-17,3000.0000,-9999.9900,-9999.9900
27 Mar 2026 04:13:00.000,0,16.990,41.8926,58.882,61.229,0.001,3386.6505,75.330,0.001,40.000,-136.202,-100.330,-82.7052,35.8720,195.0844,0.0000,0.0000,0.0000,0.0000,195.0844,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,290.000,11.2481,103.6451,103.6451,50.0000,1.0000,0.000,0.0000,26.6554,26.6554,23.6451,23.6451,1.1616e-17,1.1616e-17,3000.0000,-9999.9900,-9999.9900
27 Mar 2026 04:14:00.000,0,16.990,41.8926,58.882,58.579,0.001,3308.2050,74.824,0.001,40.000,-135.999,-100.126,-82.5016,35.8720,194.8808,0.0000,0.0000,0.0000,0.0000,194.8808,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,290.000,11.2481,103.8487,103.8487,50.0000,1.0000,0.000,0.0000,26.8590,26.8590,23.8487,23.8487,2.0928e-18,2.0928e-18,3000.0000,-9999.9900,-9999.9900
27 Mar 2026 04:15:00.000,0,16.990,41.8926,58.882,55.163,0.001,3231.2636,74.162,0.001,40.000,-135.794,-99.922,-82.2972,35.8720,194.6764,0.0000,0.0000,0.0000,0.0000,194.6764,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,290.000,11.2481,104.0531,104.0531,50.0000,1.0000,0.000,0.0000,27.0634,27.0634,24.0531,24.0531,3.4501e-19,3.4501e-19,3000.0000,-9999.9900,-9999.9900
27 Mar 2026 04:16:00.000,0,16.990,41.8926,58.882,50.642,0.000,3157.2480,73.306,0.001,40.000,-135.593,-99.721,-82.0960,35.8720,194.4752,0.0000,0.0000,0.0000,0.0000,194.4752,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,290.000,11.2481,104.2544,104.2544,50.0000,1.0000,0.000,0.0000,27.2647,27.2647,24.2544,24.2544,5.3767e-20,5.3767e-20,3000.0000,-9999.9900,-9999.9900
27 Mar 2026 04:17:00.000,0,16.990,41.8926,58.882,44.500,0.000,3087.6292,72.204,0.001,40.000,-135.399,-99.527,-81.9023,35.8720,194.2815,0.0000,0.0000,0.0000,0.0000,194.2815,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,290.000,11.2481,104.4480,104.4480,50.0000,1.0000,0.000,0.0000,27.4583,27.4583,24.4480,24.4480,8.2793e-21,8.2793e-21,3000.0000,-9999.9900,-9999.9900
27 Mar 2026 04:18:00.000,0,16.990,41.8926,58.882,35.993,0.000,3023.8944,70.784,0.001,40.000,-135.218,-99.346,-81.7211,35.8720,194.1003,0.0000,0.0000,0.0000,0.0000,194.1003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,290.000,11.2481,104.6292,104.6292,50.0000,1.0000,0.000,0.0000,27.6395,27.6395,24.6292,24.6292,1.3329e-21,1.3329e-21,3000.0000,-9999.9900,-9999.9900
27 Mar 2026 04:19:00.000,0,16.990,41.8926,58.882,24.229,0.000,2967.5031,68.940,0.001,40.000,-135.054,-99.182,-81.5576,35.8720,193.9368,0.0000,0.0000,0.0000,0.0000,193.9368,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,290.000,11.2481,104.7927,104.7927,50.0000,1.0000,0.000,0.0000,27.8030,27.8030,24.7927,24.7927,2.4003e-22,2.4003e-22,3000.0000,-9999.9900,-9999.9900
